fold,seed,model,ichimoku,regime,bars,mean_net_return
0,42,random_forest,True,bull,62,-0.00018000168900394125
0,42,random_forest,True,bear,0,
0,42,random_forest,True,sideways,37,0.0001117335961829196
0,42,xgboost,True,bull,62,0.0
0,42,xgboost,True,bear,0,
0,42,xgboost,True,sideways,37,0.0
0,42,lstm,True,bull,62,0.0
0,42,lstm,True,bear,0,
0,42,lstm,True,sideways,37,0.0
0,42,cnn,True,bull,62,0.0
0,42,cnn,True,bear,0,
0,42,cnn,True,sideways,37,0.0
0,42,transformer,True,bull,62,-0.00019863975491378607
0,42,transformer,True,bear,0,
0,42,transformer,True,sideways,37,5.2999838347674584e-05
0,42,ppo,True,bull,62,-5.681928426972253e-05
0,42,ppo,True,bear,0,
0,42,ppo,True,sideways,37,0.0005594213680252828
0,42,random_forest,False,bull,62,-0.0001825263940861813
0,42,random_forest,False,bear,0,
0,42,random_forest,False,sideways,37,-7.040848313986824e-06
0,42,xgboost,False,bull,62,0.0
0,42,xgboost,False,bear,0,
0,42,xgboost,False,sideways,37,0.0
0,42,lstm,False,bull,62,0.0
0,42,lstm,False,bear,0,
0,42,lstm,False,sideways,37,0.0
0,42,cnn,False,bull,62,0.0
0,42,cnn,False,bear,0,
0,42,cnn,False,sideways,37,0.0
0,42,transformer,False,bull,62,0.0
0,42,transformer,False,bear,0,
0,42,transformer,False,sideways,37,0.0
0,42,ppo,False,bull,62,-0.00025310767136991997
0,42,ppo,False,bear,0,
0,42,ppo,False,sideways,37,0.00043144510373214627
1,42,random_forest,True,bull,36,-0.0003286008689151866
1,42,random_forest,True,bear,0,
1,42,random_forest,True,sideways,63,-0.00026079901390060667
1,42,xgboost,True,bull,36,0.0
1,42,xgboost,True,bear,0,
1,42,xgboost,True,sideways,63,0.0
1,42,lstm,True,bull,36,-0.0002061669504419149
1,42,lstm,True,bear,0,
1,42,lstm,True,sideways,63,3.006755472891935e-05
1,42,cnn,True,bull,36,0.0
1,42,cnn,True,bear,0,
1,42,cnn,True,sideways,63,0.0
1,42,transformer,True,bull,36,0.0
1,42,transformer,True,bear,0,
1,42,transformer,True,sideways,63,0.0
1,42,ppo,True,bull,36,-0.0004831555130254128
1,42,ppo,True,bear,0,
1,42,ppo,True,sideways,63,0.00045331004945445063
1,42,random_forest,False,bull,36,-0.00016785836838817403
1,42,random_forest,False,bear,0,
1,42,random_forest,False,sideways,63,7.212588037274785e-05
1,42,xgboost,False,bull,36,0.0
1,42,xgboost,False,bear,0,
1,42,xgboost,False,sideways,63,0.0
1,42,lstm,False,bull,36,0.0
1,42,lstm,False,bear,0,
1,42,lstm,False,sideways,63,0.0
1,42,cnn,False,bull,36,0.0
1,42,cnn,False,bear,0,
1,42,cnn,False,sideways,63,0.0
1,42,transformer,False,bull,36,0.0
1,42,transformer,False,bear,0,
1,42,transformer,False,sideways,63,0.0
1,42,ppo,False,bull,36,-0.0002403287759127194
1,42,ppo,False,bear,0,
1,42,ppo,False,sideways,63,-0.0001309693075468189
