symbol,strategy,kill_switch_activations,n,total_return,annualized_return,sharpe,sortino,max_drawdown,calmar,mean_period_return,period_volatility,win_rate_periods,profit_factor_periods,expectancy_period,var_95_loss,cvar_95_loss,gross_positive_returns,gross_negative_returns,turnover_sum,trade_events,avg_abs_position,exposure_fraction,fee_bps,slippage_bps,total_explicit_cost,total_funding_drag,funding_available,gross_strategy_return_sum,net_strategy_return_sum
BTC/USDT,S6,1,13151,0.3913154843015112,0.0565359408481112,1.3310802527806826,0.959534012937352,-0.05148501386540749,1.0981047998920206,2.5514405642993828e-05,0.0008970223683001628,0.1220439510303399,1.1958283088891055,2.5514405642993828e-05,0.0009076040636963613,0.0020555099459591505,2.0489793921442874,1.7134394435332758,44.15629479073394,3170,0.03687074354161204,0.2357995589688997,10.0,2.0,0.05298755374888073,0.0,False,0.38852750235989253,0.33553994861101183
BTC/USDT,IRCP,1,13151,0.3081362837011379,0.04574525610450464,1.0590785127788247,0.8153462803364973,-0.05510946358293023,0.8300798652424901,2.084873118278142e-05,0.0009212415773072266,0.12751881986160749,1.1455007409653328,2.084873118278142e-05,0.0009590601725794699,0.002143741126548968,2.1585821277664925,1.8844004639817333,106.43895255854056,3513,0.04096450818456698,0.25047524903049195,10.0,2.0,0.12772674307024867,0.0,False,0.4019084068550071,0.27418166378475844
BTC/USDT,B0,0,13151,11.101948615473306,0.5146940769607327,0.9880553024479392,1.2402139575424784,-0.7704553949481678,0.6680387733482722,0.00027457165317071357,0.013004585155696856,0.514865789673789,1.069492437185917,0.00027457165317071357,0.019046937028572686,0.03138938703442018,55.57182392188686,51.96093211103881,1.0,1,1.0,1.0,10.0,2.0,0.0012,0.0,False,3.612091810848054,3.610891810848054
BTC/USDT,S4,1,13151,0.28009976653944313,0.041979127056450904,0.9702205548163397,0.7529720621648692,-0.053469604263224335,0.7851026323253261,1.9206014603138718e-05,0.0009263792973924409,0.1293437761386967,1.1311300233794435,1.9206014603138718e-05,0.0009749811637102964,0.00217044736999761,2.1787451020813338,1.9261668040354565,113.19540846911124,3584,0.04168889517712723,0.2546574404988214,10.0,2.0,0.13583449016293347,0.0,False,0.3884127882088108,0.2525782980458773
BTC/USDT,S5,1,13151,0.20506165038369462,0.03154992325671624,0.9223376156863272,0.5527026034180734,-0.0507422703047693,0.6217680657018384,1.4452506601028383e-05,0.0007332892410556133,0.08478442703976884,1.1569642098110209,1.4452506601028383e-05,0.0005588671489747387,0.0016763782798968113,1.4009455000115127,1.2108805857013882,23.7660165530118,2195,0.02162583633929514,0.1627252680404532,10.0,2.0,0.02851921986361416,0.0,False,0.21858413417373843,0.19006491431012426
BTC/USDT,S3,1,13151,0.16117751014340675,0.025197146420062877,0.9148707028659244,0.4788980380414437,-0.051201355971529305,0.49211873283343976,1.153697173934855e-05,0.0005901387954833173,0.05414036955364611,1.194022307204154,1.153697173934855e-05,0.00015174050555771863,0.0011693358635316653,0.9337086505208296,0.7819859351766567,36.74804562530517,1496,0.014395374700544207,0.10516310546726484,10.0,2.0,0.04409765475036619,0.0,False,0.19582037009453898,0.15172271534417278
BTC/USDT,S1,1,13151,0.18604525548076123,0.028821141043501086,0.812048118130575,0.4992462313694608,-0.0534074699908631,0.5396462526390369,1.3266419717035156e-05,0.0007645291104100524,0.09512584594327428,1.1287194270563516,1.3266419717035156e-05,0.0006459864494277777,0.0018003178537968252,1.5298695933138349,1.3554029076151055,33.32452785925292,2474,0.024596521761927406,0.18264770739867692,10.0,2.0,0.039989433431103505,0.0,False,0.21445611912983287,0.17446668569872933
BTC/USDT,C2,1,13151,0.08894696347087372,0.014291133443657067,0.606624079564593,0.24180047468025404,-0.05548309204529167,0.2575763699685483,6.609370052458423e-06,0.0005098735465794226,0.03817200212911566,1.1540493753434107,6.609370052458423e-06,0.0,4.4606968742820716e-05,0.6511533731878199,0.5642335476279392,17.092257579008503,1004,0.010957333779606341,0.07383468937723367,10.0,2.0,0.020510709094810207,0.0,False,0.10743053465469092,0.08691982555988072
BTC/USDT,S2,1,13151,-0.020168332588624716,-0.0033871585944244,-0.2154901837864336,-0.04673432421582342,-0.05037080505112812,-0.06724448003136571,-1.4964412787520727e-06,0.00032497821237631523,0.016576686183560185,0.921370431504036,-1.4964412787520727e-06,0.0,1.9352331171205205e-05,0.23060399978032842,0.25028369903719694,8.9090518705564,444,0.004282746827128401,0.03170861531442476,10.0,2.0,0.010690862244667683,0.0,False,-0.008988837012200823,-0.019679699256868508
BTC/USDT,C1,1,13151,-0.033385119786068285,-0.005638497653352559,-0.31742339170849343,-0.08857109121723715,-0.0511776103400613,-0.11017508664211315,-2.5132010191900576e-06,0.00037051889208084834,0.024712949585582844,0.912470614361729,-2.5132010191900576e-06,-0.0,2.9440209024350785e-05,0.3445490143429547,0.37760012094632317,49.92264574676831,760,0.006454707833933647,0.04516766785795757,10.0,2.0,0.05990717489612198,0.0,False,0.026856068292753527,-0.03305110660336845
